trained_logo,seed,arm,stage,first_logo_approached,trained_logo_first,trained_logo_ever,trained_logo_dwell_seconds,probe_seconds,pam11_spikes,injected_reward_ms,changed_synapses_after_training
google,101,frozen,withdrawal,google,True,True,1.0200000000000005,3.0000000000020117,0,0.0,0
google,101,frozen,extinction,google,True,True,1.0200000000000005,3.0000000000020117,0,0.0,0
google,101,frozen,effort,google,True,True,0.21999999999999997,3.0000000000020117,0,0.0,0
google,101,paired,withdrawal,google,True,True,0.7600000000000003,3.0000000000020117,0,0.0,3471
google,101,paired,extinction,google,True,True,0.21999999999999997,3.0000000000020117,0,0.0,3471
google,101,paired,effort,none,False,False,0.0,3.0000000000020117,0,0.0,3471
google,101,unpaired,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,3416
google,101,unpaired,extinction,google,True,True,0.46000000000000013,3.0000000000020117,1,0.0,3416
google,101,unpaired,effort,google,True,True,0.21999999999999997,3.0000000000020117,0,0.0,3416
google,102,frozen,withdrawal,instagram,False,False,0.0,3.0000000000020117,0,0.0,0
google,102,frozen,extinction,instagram,False,False,0.0,3.0000000000020117,0,0.0,0
google,102,frozen,effort,none,False,False,0.0,3.0000000000020117,0,0.0,0
google,102,paired,withdrawal,instagram,False,False,0.0,2.7800000000015475,0,0.0,3484
google,102,paired,extinction,instagram,False,False,0.0,3.0000000000020117,0,0.0,3484
google,102,paired,effort,instagram,False,False,0.0,3.0000000000020117,0,0.0,3484
google,102,unpaired,withdrawal,instagram,False,False,0.0,2.62000000000121,0,0.0,3434
google,102,unpaired,extinction,instagram,False,False,0.0,3.0000000000020117,0,0.0,3434
google,102,unpaired,effort,none,False,False,0.0,2.560000000001083,0,0.0,3434
google,103,frozen,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,0
google,103,frozen,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,0
google,103,frozen,effort,none,False,False,0.0,3.0000000000020117,0,0.0,0
google,103,paired,withdrawal,google,True,True,0.6400000000000002,3.0000000000020117,0,0.0,3438
google,103,paired,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,3438
google,103,paired,effort,none,False,False,0.0,3.0000000000020117,0,0.0,3438
google,103,unpaired,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,3537
google,103,unpaired,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,3537
google,103,unpaired,effort,none,False,False,0.0,3.0000000000020117,0,0.0,3537
instagram,101,frozen,withdrawal,google,False,False,0.0,3.0000000000020117,0,0.0,0
instagram,101,frozen,extinction,google,False,False,0.0,3.0000000000020117,0,0.0,0
instagram,101,frozen,effort,google,False,False,0.0,3.0000000000020117,0,0.0,0
instagram,101,paired,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,3476
instagram,101,paired,extinction,google,False,False,0.0,3.0000000000020117,0,0.0,3476
instagram,101,paired,effort,none,False,False,0.0,3.0000000000020117,0,0.0,3476
instagram,101,unpaired,withdrawal,google,False,False,0.0,3.0000000000020117,1,0.0,3493
instagram,101,unpaired,extinction,google,False,False,0.0,3.0000000000020117,0,0.0,3493
instagram,101,unpaired,effort,none,False,False,0.0,3.0000000000020117,0,0.0,3493
instagram,102,frozen,withdrawal,instagram,True,True,0.6800000000000003,3.0000000000020117,0,0.0,0
instagram,102,frozen,extinction,instagram,True,True,0.6800000000000003,3.0000000000020117,0,0.0,0
instagram,102,frozen,effort,none,False,False,0.0,3.0000000000020117,0,0.0,0
instagram,102,paired,withdrawal,instagram,True,True,1.4400000000000008,3.0000000000020117,0,0.0,3474
instagram,102,paired,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,3474
instagram,102,paired,effort,instagram,True,True,0.7400000000000003,3.0000000000020117,0,0.0,3474
instagram,102,unpaired,withdrawal,instagram,True,True,1.3200000000000007,3.0000000000020117,0,0.0,3428
instagram,102,unpaired,extinction,instagram,True,True,1.1800000000000006,3.0000000000020117,0,0.0,3428
instagram,102,unpaired,effort,instagram,True,True,0.36000000000000004,3.0000000000020117,0,0.0,3428
instagram,103,frozen,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,0
instagram,103,frozen,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,0
instagram,103,frozen,effort,none,False,False,0.0,3.0000000000020117,0,0.0,0
instagram,103,paired,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,3426
instagram,103,paired,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,3426
instagram,103,paired,effort,none,False,False,0.0,3.0000000000020117,0,0.0,3426
instagram,103,unpaired,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,3502
instagram,103,unpaired,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,3502
instagram,103,unpaired,effort,none,False,False,0.0,2.660000000001294,0,0.0,3502
whatsapp,101,frozen,withdrawal,google,False,False,0.0,3.0000000000020117,0,0.0,0
whatsapp,101,frozen,extinction,google,False,False,0.0,3.0000000000020117,0,0.0,0
whatsapp,101,frozen,effort,google,False,False,0.0,3.0000000000020117,0,0.0,0
whatsapp,101,paired,withdrawal,google,False,False,0.0,3.0000000000020117,1,0.0,3473
whatsapp,101,paired,extinction,google,False,False,0.0,3.0000000000020117,0,0.0,3473
whatsapp,101,paired,effort,google,False,False,0.0,3.0000000000020117,1,0.0,3473
whatsapp,101,unpaired,withdrawal,google,False,False,0.0,3.0000000000020117,0,0.0,3494
whatsapp,101,unpaired,extinction,google,False,False,0.0,3.0000000000020117,0,0.0,3494
whatsapp,101,unpaired,effort,google,False,False,0.0,3.0000000000020117,0,0.0,3494
whatsapp,102,frozen,withdrawal,instagram,False,False,0.0,3.0000000000020117,0,0.0,0
whatsapp,102,frozen,extinction,instagram,False,False,0.0,3.0000000000020117,0,0.0,0
whatsapp,102,frozen,effort,instagram,False,False,0.0,3.0000000000020117,0,0.0,0
whatsapp,102,paired,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,3485
whatsapp,102,paired,extinction,instagram,False,False,0.0,3.0000000000020117,0,0.0,3485
whatsapp,102,paired,effort,instagram,False,False,0.0,2.940000000001885,0,0.0,3485
whatsapp,102,unpaired,withdrawal,instagram,False,False,0.0,3.0000000000020117,0,0.0,3423
whatsapp,102,unpaired,extinction,instagram,False,False,0.0,3.0000000000020117,0,0.0,3423
whatsapp,102,unpaired,effort,instagram,False,False,0.0,3.0000000000020117,0,0.0,3423
whatsapp,103,frozen,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,0
whatsapp,103,frozen,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,0
whatsapp,103,frozen,effort,none,False,False,0.0,3.0000000000020117,0,0.0,0
whatsapp,103,paired,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,3448
whatsapp,103,paired,extinction,none,False,False,0.0,2.6000000000011676,1,0.0,3448
whatsapp,103,paired,effort,none,False,False,0.0,3.0000000000020117,0,0.0,3448
whatsapp,103,unpaired,withdrawal,none,False,False,0.0,2.7000000000013786,0,0.0,3522
whatsapp,103,unpaired,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,3522
whatsapp,103,unpaired,effort,google,False,False,0.0,3.0000000000020117,1,0.0,3522
youtube,101,frozen,withdrawal,google,False,False,0.0,3.0000000000020117,0,0.0,0
youtube,101,frozen,extinction,google,False,False,0.0,3.0000000000020117,0,0.0,0
youtube,101,frozen,effort,google,False,False,0.0,3.0000000000020117,0,0.0,0
youtube,101,paired,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,3462
youtube,101,paired,extinction,google,False,False,0.0,3.0000000000020117,0,0.0,3462
youtube,101,paired,effort,none,False,False,0.0,3.0000000000020117,0,0.0,3462
youtube,101,unpaired,withdrawal,google,False,False,0.0,3.0000000000020117,0,0.0,3516
youtube,101,unpaired,extinction,google,False,False,0.0,3.0000000000020117,0,0.0,3516
youtube,101,unpaired,effort,google,False,False,0.0,3.0000000000020117,0,0.0,3516
youtube,102,frozen,withdrawal,instagram,False,False,0.0,3.0000000000020117,0,0.0,0
youtube,102,frozen,extinction,instagram,False,False,0.0,3.0000000000020117,0,0.0,0
youtube,102,frozen,effort,instagram,False,False,0.0,3.0000000000020117,0,0.0,0
youtube,102,paired,withdrawal,instagram,False,False,0.0,3.0000000000020117,0,0.0,3492
youtube,102,paired,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,3492
youtube,102,paired,effort,instagram,False,False,0.0,3.0000000000020117,0,0.0,3492
youtube,102,unpaired,withdrawal,instagram,False,False,0.0,2.9600000000019273,0,0.0,3479
youtube,102,unpaired,extinction,instagram,False,False,0.0,3.0000000000020117,0,0.0,3479
youtube,102,unpaired,effort,instagram,False,False,0.0,2.9000000000018007,0,0.0,3479
youtube,103,frozen,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,0
youtube,103,frozen,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,0
youtube,103,frozen,effort,none,False,False,0.0,3.0000000000020117,0,0.0,0
youtube,103,paired,withdrawal,none,False,False,0.0,2.8800000000017585,0,0.0,3469
youtube,103,paired,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,3469
youtube,103,paired,effort,none,False,False,0.0,3.0000000000020117,0,0.0,3469
youtube,103,unpaired,withdrawal,none,False,False,0.0,3.0000000000020117,0,0.0,3439
youtube,103,unpaired,extinction,none,False,False,0.0,3.0000000000020117,0,0.0,3439
youtube,103,unpaired,effort,none,False,False,0.0,3.0000000000020117,0,0.0,3439
